CH_SA_CODE,CH_SA_NAME,CHSRBRL_CL,CHSPOP_CEN,HLT_A_CODE,HLT_A_NAME,HSD_A_CODE,HSD_A_NAME,HSDA_ID,HAUTH_CODE,HAUTH_NAME,HAUTH_ID,SH_FRM_DQF,LG_FRM_DFQ,SH_FRM_GNR,LG_FRM_GNR,SHLT_T_HSL,SHLT_T_LSL,SH_OT_30_P,SH_OT_100U,SHLT_WN_HL,SHLT_WN_WE,SHLT_WN_3E,SHLT_WN_MN,SHLT_WN_ME,SHLT_WN_VN,SHLT_WN_VE,SHLT_RNT_L,ST_RTSB_RT,ST_RT30_RT,SHLT_RNT_N,ST_RTMC_A,FEAT_AREA,FEAT_LEN,SHAPE,OBJECTID,X,Y
2337,Guildford,1 Metropolitan,60538,233,Surrey,23,Fraser South,23 FS,2,Fraser,2 FHA,00000,00001,3.8000000000000003,6.3,20350,14120,6225,5200,14210,66.7,25.2,1343,1479,650512,689579,6140,12.200000000000001,43.1,961,1052,52998991.2075,38740.6917,,613,,
2338,West Newton,1 Metropolitan,41463,233,Surrey,23,Fraser South,23 FS,2,Fraser,2 FHA,00100,00101,3.8000000000000003,7.1000000000000005,12030,8350,3685,3350,7555,77,29.8,1536,1603,499808,581308,4480,15.6,32.1,750,881,9807623.9913,15988.8811,,614,,
2341,South Surrey,3 Medium Urban,74816,234,South Surrey/White Rock,23,Fraser South,23 FS,2,Fraser,2 FHA,00000,00000,4.3,5.2,28990,21450,7530,5540,24195,54,22.5,1228,1637,900033,1072169,4870,13.3,43.4,1350,1489,81268411.9911,52570.0658,,615,,
2342,White Rock,3 Medium Urban,19952,234,South Surrey/White Rock,23,Fraser South,23 FS,2,Fraser,2 FHA,00000,00001,5.9,8.4,9975,6855,3120,2605,6795,48.9,22.7,946,1361,600196,861236,3215,10,49.5,1010,1224,5124130.1431,12377.3442,,616,,
3111,Richmond City Centre,1 Metropolitan,54587,311,Richmond,31,Richmond,31 RICH,3,Vancouver Coastal,3 VCHA,00000,00000,4.2,4.6000000000000005,23855,13110,10740,7375,16305,60.6,40.1,1182,1236,449359,512602,7650,13.6,55.5,1297,1306,9797090.5683,16676.1544,,617,,
3112,Blundell,1 Metropolitan,17729,311,Richmond,31,Richmond,31 RICH,3,Vancouver Coastal,3 VCHA,00000,00000,2.9,4.7,5860,3755,2105,1505,4570,50.300000000000004,32.5,1103,1707,1395245,1452483,1295,37.1,47.9,1004,1152,4596635.273,9842.686,,618,,
3113,Broadmoor,1 Metropolitan,23478,311,Richmond,31,Richmond,31 RICH,3,Vancouver Coastal,3 VCHA,00000,00000,2.8000000000000003,4.1,7910,5145,2760,1915,6195,52.5,32.3,1083,1673,1099093,1281652,1735,11,44.5,1290,1423,6020769.3622,9811.1879,,619,,
3114,Thompson/Seafair,1 Metropolitan,32171,311,Richmond,31,Richmond,31 RICH,3,Vancouver Coastal,3 VCHA,00000,00000,2.8000000000000003,3.7,11360,7465,3895,2755,8870,52.6,31.7,1084,1645,1201001,1304758,2535,11.9,43.1,1249,1424,30074288.663,55225.9986,,737,,
3115,Steveston,1 Metropolitan,24774,311,Richmond,31,Richmond,31 RICH,3,Vancouver Coastal,3 VCHA,00000,00000,3.3000000000000003,2.7,9335,7095,2245,1875,7530,52.9,19.8,1023,1477,1001474,1053595,1810,26.6,41.800000000000004,1278,1353,7704132.467,14857.3479,,620,,
3116,East and West Cambie/Bridgepor,1 Metropolitan,24621,311,Richmond,31,Richmond,31 RICH,3,Vancouver Coastal,3 VCHA,00000,00000,2.8000000000000003,4.2,8110,5455,2655,2095,6025,64.4,31,1455,1525,699573,838858,2095,17.1,37.800000000000004,1296,1317,18184416.6073,20488.6814,,621,,
3117,Gilmore/Shellmont/East/Hamilto,1 Metropolitan,20949,311,Richmond,31,Richmond,31 RICH,3,Vancouver Coastal,3 VCHA,00000,00000,4.1,6.1000000000000005,6755,4900,1855,1500,4980,62.300000000000004,24.900000000000002,1424,1577,949046,1044429,1780,2.5,34.6,1363,1376,75351513.5376,53015.3477,,746,,
3211,Downtown Vancouver,1 Metropolitan,41934,321,Vancouver - City Centre,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00100,00101,6.8,8.2,24285,13630,10655,7390,10905,63.7,37,1654,1902,729548,1025769,13480,15.5,49.5,1683,1693,2232441.3025,11898.3743,,622,,
3212,West End,1 Metropolitan,47203,321,Vancouver - City Centre,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00100,00101,5.7,6.9,30755,16920,13835,10575,6130,50.4,27.2,1119,1369,501546,670773,24685,8,49.4,1254,1308,6082951.3923,14997.3302,,623,,
3213,Fairview,1 Metropolitan,32904,321,Vancouver - City Centre,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00000,00000,5.6000000000000005,5.6000000000000005,19110,12725,6385,5020,7955,53.4,23.5,1217,1485,648967,762850,11205,9.5,40.5,1260,1342,3271894.5916,10340.380000000001,,624,,
3221,Downtown Eastside,1 Metropolitan,19960,322,Vancouver - Centre North,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,01200,01211,19.7,13.5,10145,5125,5020,4275,2100,76.10000000000001,33.8,1726,1774,601481,753781,8070,54.7,53.6,502,787,3508907.6683,14395.7726,,625,,
3222,Northeast False Creek,1 Metropolitan,12392,322,Vancouver - Centre North,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00100,00101,8.700000000000001,8.2,6330,3720,2615,1835,3105,70.2,33.9,1703,1804,649200,743003,3230,6,48.300000000000004,1769,1859,919522.3716,5530.7901,,626,,
3223,Grandview-Woodland,1 Metropolitan,29180,322,Vancouver - Centre North,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00100,00101,4.8,6.1000000000000005,15035,9755,5275,4425,5455,63.300000000000004,22.3,1323,1555,880109,899002,9580,22.3,42.4,989,1041,4557770.7663,12994.4645,,627,,
3231,Cedar Cottage,1 Metropolitan,18027,323,Vancouver - Northeast,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00000,00001,4.5,5.2,6890,4830,2060,1655,3340,58.800000000000004,24.3,1399,1638,1154148,1162316,3570,16.2,35.2,1039,1149,3049036.5028,8285.0296,,628,,
3232,Hastings-Sunrise,1 Metropolitan,34575,323,Vancouver - Northeast,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00000,00001,4,5.8,12715,8915,3800,3250,7515,49,22.6,896,1477,1249900,1266054,5215,17.400000000000002,40.2,1002,1103,7954533.9471,12880.934000000001,,629,,
3233,Renfrew-Collingwood,1 Metropolitan,51292,323,Vancouver - Northeast,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00000,00001,3.9,7.5,18755,12540,6215,5115,10990,52.5,28,1001,1390,1196108,1100460,7790,14,40.5,1094,1106,8093470.0029,12480.0849,,630,,
3241,Shaughnessy/Arbutus Ridge/Kerr,1 Metropolitan,37993,324,Vancouver - Westside,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00000,00001,4.3,5.2,14530,8690,5840,3855,9765,40.2,35.2,1454,2326,3000184,2816752,4860,5.5,50.2,1414,1635,15780256.2641,21002.3878,,631,,
3242,West Point Grey/Dunbar-Southla,1 Metropolitan,34483,324,Vancouver - Westside,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00000,00000,3.8000000000000003,5.1000000000000005,12275,7940,4340,2805,8790,40.800000000000004,29.5,1276,2276,3001780,2938512,3545,9.3,49.7,1402,1642,12496423.4626,25138.5848,,632,,
3243,University of British Columbia,1 Metropolitan,15890,324,Vancouver - Westside,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,01200,01201,15.4,4.9,5935,2525,3410,1670,2760,51.6,47.7,1459,1869,850098,1237917,3250,14.3,65.7,1668,1747,14593560.0493,20531.455,,633,,
3244,Kitsilano,1 Metropolitan,42812,324,Vancouver - Westside,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00000,00001,4.8,5.6000000000000005,22760,14835,7925,5970,9865,53.1,23.6,1225,1734,946498,1319908,12980,6.3,43.4,1349,1474,5503065.7736,11270.3717,,634,,
3251,Kensington,1 Metropolitan,31755,325,Vancouver - Midtown,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00000,00001,3.8000000000000003,6.8,11105,7610,3490,2980,6690,54.300000000000004,26.5,1208,1577,1272589,1240366,4440,3.5,39.1,1097,1176,4273111.3881,8773.7026,,635,,
3252,Mount Pleasant,1 Metropolitan,32807,325,Vancouver - Midtown,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00100,00101,6.3,6.9,17850,11660,6190,5175,7005,73.3,25.400000000000002,1593,1732,599807,798593,10890,9.1,40.7,1165,1291,4473051.5782,8907.2639,,636,,
3253,South Cambie/Riley Park,1 Metropolitan,31246,325,Vancouver - Midtown,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00000,00000,4.6000000000000005,5.6000000000000005,12325,8640,3685,3015,7205,52,23,1265,1836,1600990,1719782,5135,6,39.5,1296,1395,7127838.2914,10796.9794,,637,,
3261,Killarney,1 Metropolitan,29561,326,Vancouver - South,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00000,00000,3.3000000000000003,4.8,10730,7815,2910,2450,6400,53.800000000000004,23.5,1097,1424,946945,1095584,4345,29,32.5,1081,1094,6952544.6181,11700.233,,638,,
3262,Oakridge/Marpole,1 Metropolitan,37453,326,Vancouver - South,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00000,00001,4.2,6.2,15845,9330,6510,4685,7565,43,33.7,1136,1785,1899359,1991502,8340,12.200000000000001,47.9,1008,1200,10025941.1297,13960.3806,,639,,
3263,Sunset,1 Metropolitan,36496,326,Vancouver - South,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00000,00001,3.5,7.1000000000000005,11570,7740,3835,3200,6185,51.1,29.3,1121,1669,1500134,1456880,5410,8.5,37.7,1000,1112,6346724.3403,10284.4124,,640,,
3264,Victoria-Fraserview,1 Metropolitan,31065,326,Vancouver - South,32,Vancouver,32 VAN,3,Vancouver Coastal,3 VCHA,00000,00000,4.1,5.3,10165,7255,2915,2385,6200,43.7,23.6,833,1456,1499725,1441615,3970,16.5,36.5,950,1064,5418908.9334,9756.650300000001,,641,,
3311,North Vancouver City - East,1 Metropolitan,19230,331,North Vancouver,33,North Shore/Coast Garibaldi,33 NSCG,3,Vancouver Coastal,3 VCHA,00000,00001,4.6000000000000005,7.4,7595,5165,2430,1975,4410,59.4,23.2,1512,1828,1148834,1182215,3210,8.6,44.300000000000004,1223,1413,6298213.7591,16913.1913,,642,,
3312,North Vancouver City - West,1 Metropolitan,34244,331,North Vancouver,33,North Shore/Coast Garibaldi,33 NSCG,3,Vancouver Coastal,3 VCHA,00000,00000,4.9,6.3,17000,10625,6380,5270,8615,62.300000000000004,28.7,1354,1536,550514,710543,8405,11.1,46.6,1223,1310,5839989.646,11393.9727,,643,,
3313,North Vancouver DM - Central,1 Metropolitan,29808,331,North Vancouver,33,North Shore/Coast Garibaldi,33 NSCG,3,Vancouver Coastal,3 VCHA,00000,00000,3.5,4,10575,7810,2765,2300,8180,57.1,20.900000000000002,1597,1978,1299630,1305076,2415,14.700000000000001,43.7,1368,1504,28654541.7632,31264.1298,,644,,
3314,North Vancouver DM - East,1 Metropolitan,29271,331,North Vancouver,33,North Shore/Coast Garibaldi,33 NSCG,3,Vancouver Coastal,3 VCHA,00000,00000,3.7,4.3,9890,7650,2245,1890,7895,56,19.400000000000002,1501,1852,1139539,1213603,2005,20,35.5,1449,1493,343925728.067,109541.5254,,645,,
3315,North Vancouver DM - West,1 Metropolitan,28839,331,North Vancouver,33,North Shore/Coast Garibaldi,33 NSCG,3,Vancouver Coastal,3 VCHA,00000,00000,3.2,4.3,10585,7335,3250,2515,8385,53.800000000000004,25.3,1395,2085,1507036,1602648,2230,9,51.1,1503,1697,32078473.7216,33150.9844,,646,,
3321,West Vancouver - Lower,1 Metropolitan,19412,332,West Vancouver/Bowen Island,33,North Shore/Coast Garibaldi,33 NSCG,3,Vancouver Coastal,3 VCHA,00000,00000,6.1000000000000005,5.5,7610,4365,3245,2460,4670,40.1,30.7,1076,1970,1894112,1941067,2990,16.9,61.300000000000004,1524,1696,7543303.2878,16211.3518,,647,,
3322,West Vancouver - Upper,1 Metropolitan,25992,332,West Vancouver/Bowen Island,33,North Shore/Coast Garibaldi,33 NSCG,3,Vancouver Coastal,3 VCHA,00000,00001,3.3000000000000003,5.8,9215,6110,3105,1920,8000,45.9,31.2,1562,2547,2500865,2758027,1275,5.9,49.6,2160,2401,83010414.0607,48775.462,,749,,
